"Rank","Name","Location","About","Link"
"1","Massachusetts Institute of Technology (MIT)","United States","“Mind and Hand” is the thought-provoking motto of the Massachusetts Institute of Technology, known also as MIT. This motto enigmatically encapsulates this famous institution’s mission to advance knowledge in science, technology and areas of scholarship that can help to make the world a better place.
At its founding in 1861, MIT was initially a small community of problem-solvers and science lovers eager to bring their knowledge to bear on the world. Today, MIT has evolved into an educational behemoth, with some 1,000 faculty members and more than 11,000 undergraduate and graduate students.
MIT is now an independent, coeducational, privately endowed university organized into five schools (architecture and planning; engineering; humanities, arts, and social sciences; management; science). Yet the principle of educational innovation remains at the core of MIT’s educational philosophy.
MIT researchers are at the forefront of developments in artificial intelligence, climate adaptation, HIV, cancer, and poverty alleviation, while in the past MIT research has fuelled scientific breakthroughs such as the development of radar, the invention of magnetic core memory and the concept of the expanding universe.
Science and technology are not the only strings to MIT’s bow, however. Approximately 20 percent of MIT undergraduates join a sports team, and with 33 varsity sports MIT boasts one of the broadest intercollegiate athletic programs in the world.
A vibrant arts culture also permeates college life. There are 12 museums and galleries on campus, with the MIT Museum drawing nearly 125,000 visitors each year. Students participate in more than 60 music, theatre, writing and dance groups, and faculty members of MIT even include Pulitzer Prize winners and Guggenheim fellows.
MIT is set in 168 acres of grounds that extend for more than a mile along the Cambridge side of the Charles River basin. The campus features stunning landmarks designed by the likes of architects Alvar Aalto, Frank Gehry, and Steven Hollin, as well as buildings in a range of architectural styles, from neoclassical to modernist and brutalist.
At its edges, the campus merges with various Cambridge neighborhoods, including Kendall Square which is one of the most innovative square miles on the planet. The close association of industry and research has helped MIT alumni go on to launch more than 30,000 active companies, creating 4.6 million jobs and generating roughly $1.9 trillion in annual revenue. No wonder then that a nation of MIT graduates would be equivalent to the 10th-largest economy in the world.","https://www.topuniversities.com/universities/massachusetts-institute-technology-mit#883575"
"2","Stanford University","United States","Located 35 miles south of San Francisco and 20 miles north of San Jose, Stanford University is in the heart of Northern California’s dynamic Silicon Valley, home to Yahoo, Google, Hewlett-Packard, and many other cutting-edge tech companies that were founded by and continue to be led by Stanford alumni and faculty. Nicknamed the “billionaire factory”, it is said that if Stanford graduates formed their own country it would boast one of the world’s largest ten economies.
Covering 8,180 acres, Stanford has one of the largest university campuses in the US, with 18 interdisciplinary research institutes and seven schools: the Graduate School of Business; School of Earth, Energy & Environmental Sciences; Graduate School of Education; School of Engineering; School of Humanities and Sciences; Law School; and School of Medicine.
Stanford University was founded in 1885 by California senator Leland Stanford and his wife, Jane, to “promote the public welfare by exercising an influence in behalf of humanity and civilization”. The couple’s only child had died of typhoid, and their decision to build a university on their farm was intended as a memorial. From the start the university was non-sectarian, co-educational and affordable, teaching both the traditional liberal arts and the technology and engineering that was shaping the new America at the time.
Fast forward more than a century, and Stanford counts 19 Nobel laureates within its community and is regularly ranked among the top three universities in the world. Nicknamed “The Farm” from the days when horses roamed there, Stanford’s campus is now a thriving community of more than 11,000 creative and accomplished people from around the world. Nearly all undergraduate and 60 per cent of graduate students live on campus, so it is hardly surprising that student life is rich and diverse, with over 625 organized student groups.
Sport is popular, with students, faculty and staff enjoying state-of-the-art recreational facilities and wellness programs. Stanford students compete in 36 varsity and 32 club sports, including baseball, football, basketball, and squash. Sports teams are referred to as the “Stanford Cardinal”.
Stanford also has a rich tradition of fostering creativity and the arts: there is a vibrant campus arts district and two world-class museums which host regular exhibitions.  Eight dining halls, a teaching kitchen and organic gardens provide the campus community with healthy, sustainable meals. The close-knit communal nature of life on campus has even given rise to “Stanford speak”, a special language only spoken on campus.","https://www.topuniversities.com/universities/stanford-university#883575"
"2","University of California, Los Angeles (UCLA)","United States","Based in warm and sunny Los Angeles, the University of California, Los Angeles (UCLA) was ranked the 31st best university in the world according to the QS World University Rankings® 2016-2017.
UCLA graduates are in the enviable position of being among the world’s most employable students fresh out of uni, as suggested by UCLA’s impressive performance in the QS Graduate Employability Rankings ® 2017.
UCLA ranks among the top 10 universities in the world for:
English language and literature
Geography, linguistics
Modern languages
Electrical and electronic engineering
Biological sciences
Medicine
Psychology
Chemistry
Mathematics
Communication and media studies
Education and training
Anthropology
Archaeology
Arts and humanities
Life sciences and medicine","https://www.topuniversities.com/universities/university-california-los-angeles-ucla#883575"
"4","Harvard University","United States","Established in 1636, Harvard is the oldest higher education institution in the United States, and is widely regarded in terms of its influence, reputation, and academic pedigree as a leading university in not just the US but also the world.
Located in Cambridge, Massachusetts, three miles north-west of Boston, Harvard’s 209-acre campus houses 10 degree-granting schools in addition to the Radcliffe Institute for Advanced Study, two theaters, and five museums. It is also home to the largest academic library system in the world, with 18 million volumes, 180,000 serial titles, an estimated 400 million manuscript items and 10 million photographs.
Like most of the United States’ pre-Civil War colleges, Harvard was founded to train clergy, but Harvard’s curriculum and student body quickly secularized, and in the 20th century admissions policy was opened up to bring in a more diverse pool of applicants.
Now, a total of 21,000 students attend the university, each of whom at some point can be seen bustling past the famous statue of John Harvard, the university’s first benefactor and founder, which looks on benignly in the center of the campus. The bronze statue’s gleaming foot is due to almost incessant rubbing by tourists and students, who believe the act brings good luck.
Only the academic elite can claim a place at Harvard, and the nominal cost of attendance is high – though the university’s hefty endowment is such that it can offer generous financial aid packages, which around 60 per cent of students take advantage of.
As freshmen, students live in one of the dormitories in Harvard Yard, a prime location, and eat in the historic and picturesque Annenberg dining hall. Harvard students are active around and beyond campus, with over 400 official student societies including extracurricular, co-curricular and athletic opportunities. Whether playing on the field in Harvard Stadium, fostering entrepreneurial activities at the Harvard innovation lab or writing and editing at the daily newspaper the Harvard Crimson, student life is a rich and rewarding experience.
Harvard's alumni include eight US presidents, several foreign heads of state, 62 living billionaires, 359 Rhodes Scholars, and 242 Marshall Scholars. Whether it be Pulitzer Prizes, Nobel Prizes, or Academy Awards, Harvard graduates have won them. Students and alumni have also won 108 Olympic medals between them. The university is regularly ranked number one in the world, and the consistency of its chart-topping performances shows that success is yet to breed complacency.","https://www.topuniversities.com/universities/harvard-university#883575"
"5","The University of Sydney","Australia","The University of Sydney
was founded on the principle of giving everyone the opportunity to realise their potential through education and still holds that belief just as strongly today.
Currently ranked 4th in the world, and 1st in Australia, for graduate employability*, the University of Sydney is also consistently placed among the top 50 universities in the world**. With a reimagined undergraduate curriculum, world-class facilities, inspirational academics and a vibrant campus life, it is a place where students can attain widely recognised and respected qualifications.
The University offers Australia’s
broadest range of disciplines
and its
research
focuses on finding solutions to society’s biggest challenges. With more than 400 areas of study to choose from, students have the flexibility to follow their interests, broaden their skills, and enjoy internship and global exchange opportunities.
Outside the classroom, students can make lifelong friends and connections, and enjoy unforgettable experiences, with more than 200 student-run clubs and societies bringing the campus to life. Our community – which covers the world – includes more than 50,000 students, 3400 academic staff, and 320,000 alumni.
Explore courses
at the University of Sydney.
* QS Graduate Employability Rankings, 2017
** QS World University Rankings, 2016–17
The University of Sydney offer the widest range of academic programs of any university in Australia.
The teachers, researchers and leading thinkers are paving the way for solutions to complex global issues impacting upon our health, environment, technology and culture.
Across our faculties, we have research teams working on creating cleaner fuels, faster internet, treatment for chronic illness, and more sustainable ways of living.
Faculties include:
Arts and Social Sciences
Business
Engineering and Information Technologies
Health Sciences
Medicine and Health
Science
The best student experience in Australia
The University of Sydney Union (USU)
run more than 200 clubs and societies, including 26 cultural groups. You can meet a variety of people, team up and make new friends, share your ideas and learn new skills through performances, sports and leadership opportunities.
The USU also run the
Clubs and Societies Program
, which has more than 200 campus clubs – from calligraphy to photography, Pokemon to handball, there's something for everyone.
Sydney Uni Sport and Fitness
offers a huge range of facilities, programs and events to keep you healthy and active. You can get involved in athletics, swimming, tennis, golf, hockey, soccer, rugby union, rowing, scuba diving, skiing and more.
We also have performance spaces, museums, on-campus bars, cafes and even a heritage-listed graffiti tunnel.
Admission criteria
Whether you are applying as a domestic or international student, understanding the criteria for admission is essential.
Check the specific admission criteria
for your course.
You can also check to see whether:
your
secondary school qualification
is recognised for admission
you need to provide evidence of your
English language proficiency
you can apply for
credit for previous studies
in your application if you are applying directly to the University.
Applying to the University
The application process depends on whether you're applying as an undergraduate, postgraduate, domestic or international student.
From submitting your application to accepting an offer and enrolling, we're here to help. Please visit our
how to apply
page for more information.
The
Careers Centre
will offer Career advice and thousands of student jobs their database. Right from your first year at university, you have access to an abundance of career counselling services and resources to help put you in the best career position by the end of your degree.","https://www.topuniversities.com/universities/university-sydney#883575"
"6","The University of Melbourne","Australia","When the University of Melbourne was established in 1853, it was a mere cluster of buildings in a large park on the fringe of the city, with four professors and 16 students. The university now sits at the heart of a thriving international city and is consistently ranked among the leading universities in the world and number one in Australia.
Over 8,000 academic and professional staff support a vibrant student body of more than 48,000, including 13,000 international students from over 130 countries around the world. Four Australian prime ministers and five governors-general have graduated from the University of Melbourne, located in the city dubbed Australia’s “cultural capital”.
Indeed, Melbourne is a seven times winner of the Economist’s World’s Most Livable City award, and is a UNESCO City of Literature, as well as the birthplace of Australian rules football and a major center for street art, music, and theatre.
Melbourne is known for offering students an experience that’s a lot more than just structured learning. The main Parkville campus is close to transport, cafes, shopping, arts and sports venues and accommodation.
Students will find a blistering array of cultural activities on campus here, be it theatre, comedy, film or public lectures, and it’s easy to find people with matching interests by joining one of over 200 affiliated clubs and societies, ranging from Chess Club to Women in Science and Engineering, to the Chocolate Lovers’ Society. Sports enthusiasts are well catered for too, with a 25-metre six-lane heated indoor pool, an athletics track and sports field, and a large strength and fitness gym.
The university has 11 residential colleges where most students live, which provide a quick way to build an academic and social network. Each college provides sporting and cultural programs to enrich the academic experience, which is at the center of university life.
Degrees at the University of Melbourne stand out for being modelled on those from top institutions overseas. Students spend a year exploring a range of subject areas before choosing a major. They also study subjects outside as well as inside their chosen discipline, giving Melbourne students a breadth of knowledge that sets them apart.","https://www.topuniversities.com/universities/university-melbourne#883575"
"7","University of Cambridge","United Kingdom","Located in the center of the ancient city of Cambridge, 50 miles north of London, the University of Cambridge is a collegiate public research institution that serves more than 18,000 students from all corners of the globe.
The university consists of numerous listed buildings and is divided into 31 autonomous colleges, with many of the older ones situated on the famous river Cam. Applications are made directly to the individual colleges, rather than to the university overall. You can live and are often taught within your college, receiving small group teaching sessions known as college supervisions.
Six academic schools – Arts and Humanities, Biological Sciences, Clinical Medicine, Humanities and Social Sciences, Physical Sciences, and Technology – are spread across the university’s colleges, housing roughly 150 faculties and other institutions.
Founded in 1209, the University of Cambridge’s 800-year history makes it the fourth-oldest university in the world and the second-oldest university in the English-speaking world. Cambridge students make up 20 percent of the town's population and most of the older colleges are situated near the city center. Its notable buildings give the city of Cambridge a unique character, and include King's College Chapel, the history faculty building designed by James Stirling and the Cripps Building at St John's College.
Cambridge is widely acknowledged as a vibrant place to be a student. On the academic side, the university is home to over 100 libraries, which hold more than 15 million books in total. There are also nine world-renowned arts, scientific and cultural museums such as Kettle’s Yard and the Fitzwilliam Museum, which are open to the public throughout the year, as well as a botanical garden.
Extracurricular activities give you the chance to get involved with anything from the university’s renowned student drama societies, which spawned the likes of comedy group Monty Python, to music, politics and hundreds of other clubs and societies. The sports scene at Cambridge is huge too, with state-of-the-art facilities and over 80 sports on offer with teams for novices and experts alike.
With its reputation for academic excellence and traditional scholarly values, the University of Cambridge often ranks among the very top universities in the world for teaching, research, and international outlook. The university has educated eminent mathematicians, scientists, politicians, lawyers, philosophers, writers, actors and heads of state. Ninety-eight Nobel laureates and 15 British prime ministers have affiliations with Cambridge as students, faculty or alumni, including the scientists Francis Crick and Frederick Sanger.","https://www.topuniversities.com/universities/university-cambridge#883575"
"8","University of California, Berkeley (UCB)","United States","Founded in 1868, the University of California, Berkeley (UCB) is a public research university and the flagship institution of the ten research universities affiliated with the University of California system.
Berkeley is one of the 14 founding members of the Association of American Universities and is home to some world-renowned research institutes, including the Mathematical Sciences Research Institute and the Space Sciences Laboratory.
Berkeley alumni, faculty and researchers include 99 Nobel laureates, 23 Turing Award winners, and 14 Pulitzer Prize winners. Faculty member J. R. Oppenheimer led the Manhattan project to create the first atomic bomb, while Berkeley’s Nobel laureate Ernest Lawrence invented the cyclotron, through which UC Berkeley scientists and researchers discovered 16 chemical elements of the periodic table.
Berkeley started out with little more than 40 students but, as the first full-curriculum university in California, it quickly gained ground on its illustrious forebears. By the early 1940s, it had grown substantially and was ranked second only to Harvard.
During this decade, Berkeley gained further prestige through its radiation laboratory, which was instrumental in the project to develop an atomic bomb.  During the sixties, Berkeley gained a worldwide reputation for student activism, thanks to the Free Speech Movement of 1964 and campus opposition to the Vietnam War. In 1969, the then governor of California Ronald Reagan called the Berkeley campus "a haven for communist sympathizers, protesters, and sex deviants", though today’s students tend to be more politically moderate.
The Berkeley campus encompasses approximately 1,232 acres of the bay area of San Francisco, with many of its Beaux-Arts-style buildings recognized as California Historical Landmarks.
Three quarters of its 40,000 students are undergraduates, giving life on campus a youthful feel in vibrant, urban surrounds. Most undergraduate students live in residential halls, where they can make friends, work and play in a safe environment designed to enhance the academic experience through a culture of care.
